Score, Predict
0.86, 0.78
0.00, 0.80
0.00, 0.76
1.00, 0.75
0.43, 0.74
1.00, 0.73
1.00, 0.77
1.00, 0.72
0.10, 0.79
1.00, 0.73
1.00, 0.73
1.00, 0.75
0.80, 0.72
0.71, 0.73
1.00, 0.72
0.86, 0.78
1.00, 0.73
1.00, 0.75
1.00, 0.74
1.00, 0.78
0.50, 0.75
1.00, 0.72
0.38, 0.73
1.00, 0.78
0.44, 0.72
0.89, 0.73
1.00, 0.74
0.14, 0.76
0.80, 0.77
0.78, 0.74
0.80, 0.76
0.00, 0.74
0.88, 0.74
0.00, 0.74
1.00, 0.78
0.40, 0.76
0.00, 0.73
0.90, 0.72
1.00, 0.72
0.00, 0.73
1.00, 0.74
0.86, 0.76
0.29, 0.75
0.80, 0.71
1.00, 0.79
0.75, 0.76
0.12, 0.72
0.12, 0.73
1.00, 0.76
0.60, 0.73
1.00, 0.74
0.33, 0.75
0.00, 0.73
0.38, 0.78
1.00, 0.76
1.00, 0.79
0.30, 0.74
1.00, 0.75
0.71, 0.72
1.00, 0.74
1.00, 0.78
1.00, 0.74
1.00, 0.73
0.50, 0.79
1.00, 0.75
0.90, 0.75
1.00, 0.78
0.00, 0.74
0.71, 0.79
0.00, 0.75
1.00, 0.72
1.00, 0.77
0.11, 0.77
0.00, 0.72
0.29, 0.72
1.00, 0.72
0.90, 0.72
1.00, 0.72
1.00, 0.74
1.00, 0.77
0.00, 0.73
0.33, 0.75
0.00, 0.79
0.00, 0.72
1.00, 0.73
1.00, 0.72
0.25, 0.73
1.00, 0.75
0.50, 0.73
1.00, 0.73
0.38, 0.74
0.88, 0.79
0.00, 0.74
1.00, 0.78
0.89, 0.72
0.00, 0.73
1.00, 0.73
1.00, 0.75
1.00, 0.77
1.00, 0.74
1.00, 0.74
0.86, 0.79
0.29, 0.75
1.00, 0.73
0.88, 0.76
1.00, 0.78
0.38, 0.75
0.70, 0.75
1.00, 0.73
0.86, 0.73
0.71, 0.74
0.60, 0.77
0.67, 0.77
0.00, 0.77
1.00, 0.72
1.00, 0.73
1.00, 0.76
1.00, 0.73
1.00, 0.76
1.00, 0.80
0.86, 0.76
0.67, 0.75
1.00, 0.73
0.00, 0.73
0.78, 0.72
1.00, 0.73
1.00, 0.74
0.71, 0.72
0.86, 0.76
0.20, 0.74
1.00, 0.74
1.00, 0.76
1.00, 0.79
1.00, 0.72
1.00, 0.77
1.00, 0.73
0.86, 0.73
0.90, 0.72
0.00, 0.76
0.43, 0.78
0.00, 0.72
0.90, 0.78
1.00, 0.73
1.00, 0.76
0.00, 0.75
0.00, 0.73
0.00, 0.72
0.38, 0.75
0.88, 0.72
1.00, 0.77
0.71, 0.79
0.90, 0.74
1.00, 0.75
1.00, 0.79
1.00, 0.74
1.00, 0.72
0.86, 0.76
0.57, 0.75
0.86, 0.77
0.86, 0.77
0.12, 0.74
1.00, 0.76
1.00, 0.75
1.00, 0.73
0.00, 0.71
1.00, 0.79
0.71, 0.75
1.00, 0.73
1.00, 0.73
0.14, 0.74
1.00, 0.76
1.00, 0.74
1.00, 0.73
0.43, 0.75
0.88, 0.75
0.90, 0.77
1.00, 0.76
1.00, 0.71
1.00, 0.75
0.12, 0.72
1.00, 0.77
0.88, 0.77
1.00, 0.73
1.00, 0.74
0.75, 0.76
1.00, 0.73
0.78, 0.74
0.00, 0.73
0.60, 0.73
0.00, 0.79
0.00, 0.72
1.00, 0.80
1.00, 0.75
1.00, 0.74
0.71, 0.72
1.00, 0.74
1.00, 0.73
0.00, 0.73
0.86, 0.74
0.38, 0.77
1.00, 0.72
0.86, 0.73
1.00, 0.74
0.88, 0.76
1.00, 0.80
1.00, 0.77
0.75, 0.74
0.30, 0.75
0.62, 0.75
0.00, 0.73
1.00, 0.76
0.12, 0.73
1.00, 0.76
1.00, 0.72
0.78, 0.75
0.00, 0.79
1.00, 0.73
1.00, 0.79
1.00, 0.72
1.00, 0.72
0.71, 0.76
1.00, 0.76
0.43, 0.80
0.00, 0.73
0.56, 0.77
0.00, 0.76
1.00, 0.74
1.00, 0.72
0.10, 0.76
0.00, 0.75
1.00, 0.75
0.88, 0.76
0.00, 0.72
0.00, 0.74
0.00, 0.77
1.00, 0.72
1.00, 0.73
0.86, 0.75
0.11, 0.72
0.75, 0.73
1.00, 0.77
0.00, 0.75
0.90, 0.75
1.00, 0.75
1.00, 0.72
1.00, 0.72
0.75, 0.77
1.00, 0.75
0.57, 0.75
0.80, 0.76
1.00, 0.73
0.00, 0.76
0.33, 0.74
1.00, 0.76
0.33, 0.72
0.80, 0.75
0.88, 0.77
0.00, 0.77
1.00, 0.74
1.00, 0.73
0.10, 0.75
0.00, 0.74
1.00, 0.74
0.00, 0.72
0.67, 0.74
1.00, 0.80
1.00, 0.75
1.00, 0.74
0.00, 0.73
1.00, 0.77
1.00, 0.72
1.00, 0.73
1.00, 0.73
0.80, 0.77
0.30, 0.75
1.00, 0.74
1.00, 0.73
0.62, 0.73
0.90, 0.79
1.00, 0.74
1.00, 0.74
1.00, 0.79
0.00, 0.76
1.00, 0.80
0.10, 0.73
1.00, 0.72
0.50, 0.75
0.86, 0.72
1.00, 0.72
0.12, 0.75
0.89, 0.76
1.00, 0.78
1.00, 0.75
1.00, 0.79
0.22, 0.74
0.56, 0.76
0.30, 0.75
1.00, 0.73
0.90, 0.71
0.29, 0.73
0.88, 0.77
0.57, 0.73
1.00, 0.79
0.00, 0.75
0.88, 0.75
0.88, 0.74
0.33, 0.74
0.90, 0.75
0.89, 0.74
1.00, 0.72
0.00, 0.73
1.00, 0.80
1.00, 0.74
0.56, 0.75
1.00, 0.75
0.71, 0.76
1.00, 0.74
0.89, 0.74
0.43, 0.75
0.86, 0.75
1.00, 0.77
0.78, 0.73
0.25, 0.75
0.80, 0.72
1.00, 0.78
1.00, 0.72
0.44, 0.76
0.14, 0.74
0.88, 0.75
1.00, 0.73
0.86, 0.72
1.00, 0.74
0.78, 0.74
0.78, 0.76
0.12, 0.75
1.00, 0.73
1.00, 0.74
1.00, 0.75
1.00, 0.72
0.67, 0.76
0.88, 0.79
1.00, 0.73
1.00, 0.75
0.89, 0.74
0.00, 0.73
1.00, 0.77
0.90, 0.75
1.00, 0.76
1.00, 0.73
0.71, 0.72
1.00, 0.75
1.00, 0.76
1.00, 0.73
1.00, 0.74
1.00, 0.80
0.88, 0.76
1.00, 0.72
0.00, 0.78
1.00, 0.74
1.00, 0.73
1.00, 0.74
0.70, 0.74
1.00, 0.74
0.20, 0.73
1.00, 0.75
1.00, 0.73
1.00, 0.77
0.80, 0.72
1.00, 0.76
0.62, 0.74
0.30, 0.74
0.71, 0.75
0.71, 0.73
1.00, 0.72
1.00, 0.72
1.00, 0.79
0.43, 0.77
1.00, 0.74
0.88, 0.78
1.00, 0.73
0.00, 0.77
0.50, 0.74
1.00, 0.76
1.00, 0.73
1.00, 0.77
0.71, 0.73
0.88, 0.77
0.00, 0.73
1.00, 0.74
1.00, 0.75
1.00, 0.73
1.00, 0.75
1.00, 0.73
1.00, 0.72
1.00, 0.77
1.00, 0.75
0.80, 0.78
1.00, 0.73
0.43, 0.72
0.78, 0.78
0.71, 0.74
0.44, 0.76
1.00, 0.73
1.00, 0.77
0.00, 0.77
0.86, 0.72
1.00, 0.74
1.00, 0.74
0.00, 0.72
1.00, 0.76
0.20, 0.77
0.88, 0.73
0.22, 0.73
1.00, 0.75
1.00, 0.73
0.50, 0.71
1.00, 0.73
0.00, 0.73
0.90, 0.78
1.00, 0.79
1.00, 0.77
0.86, 0.74
1.00, 0.73
1.00, 0.76
0.88, 0.75
1.00, 0.75
1.00, 0.75
0.88, 0.73
1.00, 0.78
0.50, 0.73
1.00, 0.75
1.00, 0.75
1.00, 0.73
1.00, 0.73
0.71, 0.77
1.00, 0.76
1.00, 0.73
0.56, 0.73
0.00, 0.77
1.00, 0.73
1.00, 0.76
1.00, 0.76
0.88, 0.75
1.00, 0.76
1.00, 0.74
1.00, 0.73
0.86, 0.74
0.43, 0.76
0.00, 0.72
0.10, 0.75
1.00, 0.72
0.00, 0.74
0.56, 0.75
0.88, 0.73
1.00, 0.79
0.33, 0.76
0.70, 0.77
0.90, 0.77
0.80, 0.73
1.00, 0.73
1.00, 0.78
1.00, 0.75
1.00, 0.75
1.00, 0.72
0.00, 0.79
0.00, 0.74
1.00, 0.75
1.00, 0.75
0.86, 0.73
0.70, 0.76
1.00, 0.73
0.50, 0.78
1.00, 0.77
0.14, 0.75
1.00, 0.76
0.20, 0.72
0.00, 0.72
1.00, 0.73
0.00, 0.73
0.67, 0.72
0.40, 0.75
0.00, 0.73
0.20, 0.72
0.00, 0.77
0.86, 0.75
1.00, 0.72
0.00, 0.77
0.00, 0.74
1.00, 0.75
1.00, 0.76
0.78, 0.78
1.00, 0.78
0.86, 0.72
0.00, 0.74
0.88, 0.74
1.00, 0.73
0.30, 0.75
1.00, 0.72
1.00, 0.73
0.71, 0.77
1.00, 0.72
0.29, 0.79
0.75, 0.77
0.00, 0.74
1.00, 0.78
1.00, 0.73
0.38, 0.78
0.70, 0.73
1.00, 0.74
1.00, 0.74
0.29, 0.75
1.00, 0.76
0.00, 0.73
0.86, 0.73
0.88, 0.76
0.00, 0.73
0.00, 0.73
1.00, 0.72
1.00, 0.72
1.00, 0.76
0.43, 0.77
1.00, 0.79
1.00, 0.75
1.00, 0.75
0.00, 0.72
0.88, 0.75
1.00, 0.74
0.43, 0.80
1.00, 0.72
1.00, 0.73
1.00, 0.75
0.00, 0.72
0.90, 0.75
1.00, 0.76
1.00, 0.75
0.00, 0.75
1.00, 0.74
0.67, 0.74
0.44, 0.74
1.00, 0.76
0.75, 0.75
1.00, 0.73
1.00, 0.74
1.00, 0.75
0.40, 0.75
0.90, 0.75
1.00, 0.72
1.00, 0.74
0.67, 0.73
0.43, 0.74
1.00, 0.75
0.50, 0.77
0.00, 0.75
1.00, 0.74
0.86, 0.77
0.88, 0.77
0.90, 0.73
0.00, 0.77
1.00, 0.76
1.00, 0.78
1.00, 0.77
0.00, 0.78
0.00, 0.75
0.00, 0.72
0.86, 0.73
1.00, 0.73
0.20, 0.74
1.00, 0.75
1.00, 0.73
1.00, 0.74
1.00, 0.76
1.00, 0.74
1.00, 0.72
1.00, 0.74
0.80, 0.76
0.10, 0.73
1.00, 0.77
0.57, 0.74
1.00, 0.78
1.00, 0.74
1.00, 0.74
1.00, 0.73
0.86, 0.73
0.88, 0.75
1.00, 0.77
0.86, 0.72
0.90, 0.74
1.00, 0.78
0.00, 0.75
1.00, 0.74
1.00, 0.74
1.00, 0.74
1.00, 0.77
0.29, 0.72
1.00, 0.75
0.14, 0.77
0.12, 0.75
0.88, 0.78
1.00, 0.73
0.86, 0.75
0.00, 0.75
0.78, 0.75
1.00, 0.71
1.00, 0.73
1.00, 0.73
0.57, 0.76
1.00, 0.73
0.71, 0.74
0.62, 0.78
0.86, 0.73
0.88, 0.77
1.00, 0.74
0.88, 0.73
1.00, 0.75
1.00, 0.73
0.00, 0.76
1.00, 0.76
1.00, 0.80
1.00, 0.74
1.00, 0.74
0.30, 0.75
1.00, 0.74
0.90, 0.74
0.11, 0.75
0.75, 0.75
0.70, 0.79
0.90, 0.73
0.00, 0.73
0.86, 0.78
0.00, 0.74
0.00, 0.71
0.88, 0.76
0.90, 0.74
1.00, 0.74
1.00, 0.75
0.70, 0.80
0.60, 0.72
0.88, 0.74
1.00, 0.77
1.00, 0.73
1.00, 0.75
1.00, 0.76
1.00, 0.76
0.57, 0.74
1.00, 0.76
1.00, 0.76
0.56, 0.72
0.00, 0.75
0.86, 0.78
0.75, 0.73
1.00, 0.72
1.00, 0.73
0.25, 0.74
0.75, 0.76
0.86, 0.75
0.86, 0.74
1.00, 0.78
1.00, 0.76
0.00, 0.71
0.60, 0.74
1.00, 0.77
0.00, 0.73
1.00, 0.73
1.00, 0.72
0.14, 0.75
0.43, 0.73
1.00, 0.75
0.20, 0.75
0.50, 0.76
0.86, 0.78
1.00, 0.73
0.86, 0.79
1.00, 0.78
0.88, 0.73
1.00, 0.76
0.88, 0.73
0.33, 0.75
0.71, 0.73
0.78, 0.75
1.00, 0.72
1.00, 0.72
1.00, 0.74
0.00, 0.75
0.86, 0.72
1.00, 0.74
0.56, 0.79
0.00, 0.74
0.00, 0.73
0.00, 0.75
1.00, 0.77
0.10, 0.73
0.71, 0.80
1.00, 0.74
1.00, 0.72
1.00, 0.73
1.00, 0.78
0.57, 0.72
0.89, 0.75
0.62, 0.79
0.00, 0.74
1.00, 0.75
1.00, 0.73
0.89, 0.73
0.44, 0.80
1.00, 0.75
0.00, 0.72
1.00, 0.73
1.00, 0.73
1.00, 0.74
0.86, 0.74
1.00, 0.77
1.00, 0.75
1.00, 0.78
1.00, 0.73
0.71, 0.74
1.00, 0.75
1.00, 0.73
0.80, 0.74
1.00, 0.78
1.00, 0.74
1.00, 0.73
0.60, 0.74
0.57, 0.73
0.86, 0.73
1.00, 0.76
1.00, 0.73
1.00, 0.73
1.00, 0.74
1.00, 0.76
0.30, 0.78
1.00, 0.73
0.12, 0.73
1.00, 0.76
0.71, 0.74
1.00, 0.77
0.86, 0.77
1.00, 0.74
0.62, 0.72
0.00, 0.74
0.00, 0.73
0.88, 0.73
0.00, 0.72
1.00, 0.76
1.00, 0.76
1.00, 0.73
0.00, 0.74
1.00, 0.74
1.00, 0.78
1.00, 0.74
0.29, 0.76
0.86, 0.77
0.29, 0.74
1.00, 0.77
1.00, 0.75
1.00, 0.72
1.00, 0.79
1.00, 0.78
0.89, 0.73
1.00, 0.77
0.86, 0.73
0.29, 0.71
1.00, 0.74
1.00, 0.71
1.00, 0.75
0.89, 0.75
0.00, 0.74
1.00, 0.78
1.00, 0.74
1.00, 0.80
0.00, 0.76
1.00, 0.76
0.71, 0.72
1.00, 0.75
1.00, 0.73
1.00, 0.73
1.00, 0.74
0.00, 0.74
0.78, 0.73
1.00, 0.75
0.62, 0.76
1.00, 0.72
1.00, 0.73
0.00, 0.72
1.00, 0.76
1.00, 0.75
1.00, 0.74
0.12, 0.73
1.00, 0.75
1.00, 0.74
1.00, 0.77
0.00, 0.75
0.00, 0.78
0.12, 0.73
0.00, 0.75
0.78, 0.73
1.00, 0.77
0.88, 0.74
1.00, 0.74
0.60, 0.74
0.80, 0.75
0.90, 0.74
1.00, 0.72
1.00, 0.72
1.00, 0.73
0.43, 0.74
0.71, 0.73
0.67, 0.76
1.00, 0.77
1.00, 0.79
1.00, 0.76
1.00, 0.74
0.22, 0.75
1.00, 0.72
0.14, 0.78
0.80, 0.73
0.00, 0.76
1.00, 0.75
0.00, 0.77
1.00, 0.73
0.10, 0.74
0.14, 0.72
0.00, 0.73
0.25, 0.73
1.00, 0.78
0.75, 0.78
0.00, 0.73
0.71, 0.74
1.00, 0.76
0.29, 0.74
1.00, 0.74
1.00, 0.73
1.00, 0.75
0.43, 0.76
1.00, 0.76
1.00, 0.76
1.00, 0.74
0.00, 0.72
0.88, 0.79
1.00, 0.74
0.38, 0.72
0.56, 0.77
1.00, 0.78
1.00, 0.74
1.00, 0.75
0.90, 0.73
0.89, 0.73
1.00, 0.75
0.86, 0.76
0.88, 0.73
1.00, 0.73
0.10, 0.73
0.67, 0.75
0.00, 0.72
1.00, 0.74
0.70, 0.77
0.90, 0.74
1.00, 0.74
0.62, 0.75
0.00, 0.75
0.71, 0.75
1.00, 0.75
1.00, 0.76
0.00, 0.73
1.00, 0.74
0.14, 0.72
1.00, 0.73
0.14, 0.73
1.00, 0.74
1.00, 0.76
0.88, 0.79
1.00, 0.74
0.00, 0.80
0.90, 0.74
0.00, 0.72
0.00, 0.74
0.50, 0.80
0.29, 0.76
0.10, 0.73
0.20, 0.72
1.00, 0.75
1.00, 0.78
0.38, 0.76
1.00, 0.76
0.86, 0.73
0.86, 0.74
1.00, 0.76
0.89, 0.72
1.00, 0.73
1.00, 0.77
0.90, 0.75
1.00, 0.76
0.14, 0.76
0.71, 0.73
0.43, 0.72
1.00, 0.73
1.00, 0.76
1.00, 0.73
1.00, 0.75
1.00, 0.73
0.80, 0.73
1.00, 0.77
0.25, 0.74
1.00, 0.79
1.00, 0.75
0.11, 0.76
0.44, 0.75
0.60, 0.73
0.00, 0.76
0.11, 0.73
1.00, 0.72
0.50, 0.76
1.00, 0.75
1.00, 0.76
0.00, 0.79
0.80, 0.73
0.00, 0.76
0.10, 0.77
0.00, 0.73
1.00, 0.73
1.00, 0.76
0.90, 0.74
0.71, 0.72
1.00, 0.74
0.75, 0.74
0.90, 0.73
1.00, 0.73
0.29, 0.74
1.00, 0.73
0.00, 0.73
1.00, 0.74
0.00, 0.77
0.10, 0.74
1.00, 0.74
1.00, 0.78
0.71, 0.72
1.00, 0.76
1.00, 0.74
0.88, 0.80
0.14, 0.72
0.00, 0.73
1.00, 0.74
0.12, 0.76
1.00, 0.74
1.00, 0.74
1.00, 0.77
1.00, 0.78
0.88, 0.73
1.00, 0.73
1.00, 0.74
1.00, 0.73
0.86, 0.73
0.57, 0.75
0.90, 0.72
0.71, 0.74
0.60, 0.74
1.00, 0.74
1.00, 0.76
0.25, 0.78
1.00, 0.79
0.86, 0.72
1.00, 0.74
1.00, 0.80
0.00, 0.71
1.00, 0.74
0.00, 0.75
0.75, 0.75
0.88, 0.72
1.00, 0.77
0.62, 0.76
1.00, 0.75
1.00, 0.72
1.00, 0.75
0.86, 0.73
0.50, 0.76
1.00, 0.75
1.00, 0.74
0.86, 0.74
0.44, 0.74
0.00, 0.73
0.75, 0.73
0.00, 0.73
1.00, 0.73
0.57, 0.74
0.86, 0.74
0.38, 0.78
1.00, 0.73
0.62, 0.72
1.00, 0.76
0.00, 0.79
0.71, 0.77
0.67, 0.77
1.00, 0.75
1.00, 0.73
1.00, 0.77
1.00, 0.73
0.88, 0.74
0.00, 0.73
1.00, 0.78
0.60, 0.73
0.78, 0.73
1.00, 0.75
1.00, 0.78
0.00, 0.77
1.00, 0.73
0.88, 0.73
0.00, 0.72
1.00, 0.74
0.88, 0.73
1.00, 0.80
1.00, 0.73
1.00, 0.73
0.90, 0.76
1.00, 0.74
0.12, 0.73
0.62, 0.77
1.00, 0.76
0.00, 0.72
1.00, 0.74
1.00, 0.78
0.80, 0.75
0.86, 0.73
1.00, 0.74
1.00, 0.73
1.00, 0.75
1.00, 0.75
0.38, 0.72
1.00, 0.75
1.00, 0.77
1.00, 0.77
0.38, 0.76
1.00, 0.76
1.00, 0.74
1.00, 0.76
1.00, 0.73
1.00, 0.75
0.00, 0.72
1.00, 0.73
1.00, 0.75
1.00, 0.75
0.30, 0.75
0.75, 0.76
0.80, 0.76
0.88, 0.72
0.70, 0.72
1.00, 0.77
0.40, 0.74
1.00, 0.76
1.00, 0.74
1.00, 0.72
1.00, 0.75
0.67, 0.77
0.62, 0.75
1.00, 0.73
1.00, 0.75
0.00, 0.77
1.00, 0.74
1.00, 0.75
1.00, 0.75
1.00, 0.72
1.00, 0.76
1.00, 0.74
1.00, 0.76
1.00, 0.77
0.00, 0.73
0.67, 0.74
1.00, 0.77
0.00, 0.72
1.00, 0.75
0.22, 0.76
0.12, 0.72
1.00, 0.73
1.00, 0.76
1.00, 0.77
0.60, 0.74
0.90, 0.73
0.50, 0.76
0.60, 0.72
1.00, 0.76
0.89, 0.73
0.25, 0.72
1.00, 0.72
1.00, 0.73
1.00, 0.77
0.00, 0.79
1.00, 0.76
1.00, 0.76
0.57, 0.77
0.00, 0.75
1.00, 0.73
1.00, 0.76
1.00, 0.74
1.00, 0.76
1.00, 0.76
0.00, 0.72
0.00, 0.76
1.00, 0.76
0.90, 0.74
0.86, 0.73
0.44, 0.74
0.86, 0.73
0.70, 0.73
1.00, 0.75
0.00, 0.75
1.00, 0.76
1.00, 0.74
0.12, 0.72
0.75, 0.75
0.89, 0.72
1.00, 0.77
0.00, 0.76
1.00, 0.78
0.00, 0.72
0.14, 0.73
1.00, 0.72
1.00, 0.74
0.38, 0.76
1.00, 0.74
0.00, 0.76
0.00, 0.73
1.00, 0.73
1.00, 0.73
0.86, 0.72
0.44, 0.75
0.00, 0.76
0.00, 0.73
1.00, 0.75
1.00, 0.74
0.88, 0.80
0.90, 0.73
0.40, 0.74
0.90, 0.76
0.00, 0.76
0.00, 0.75
1.00, 0.78
1.00, 0.77
1.00, 0.75
0.38, 0.76
0.78, 0.72
0.88, 0.72
1.00, 0.78
1.00, 0.76
1.00, 0.73
1.00, 0.73
1.00, 0.77
1.00, 0.76
1.00, 0.74
1.00, 0.73
0.89, 0.73
1.00, 0.73
0.38, 0.76
0.71, 0.72
0.20, 0.77
1.00, 0.74
0.71, 0.72
0.00, 0.73
0.75, 0.76
1.00, 0.74
0.88, 0.76
1.00, 0.77
0.86, 0.74
0.86, 0.73
0.00, 0.75
1.00, 0.76
1.00, 0.73
0.00, 0.78
0.86, 0.75
0.89, 0.74
1.00, 0.74
0.25, 0.77
0.67, 0.75
0.00, 0.77
0.90, 0.77
0.89, 0.77
0.00, 0.73
1.00, 0.73
1.00, 0.76
1.00, 0.73
1.00, 0.75
1.00, 0.75
1.00, 0.74
0.29, 0.73
0.71, 0.75
0.71, 0.76
1.00, 0.72
0.38, 0.75
0.75, 0.74
0.86, 0.75
0.70, 0.77
1.00, 0.72
1.00, 0.75
1.00, 0.73
0.10, 0.76
1.00, 0.76
1.00, 0.76
1.00, 0.74
1.00, 0.74
1.00, 0.73
1.00, 0.78
0.33, 0.72
0.00, 0.77
0.88, 0.74
1.00, 0.76
0.10, 0.72
0.88, 0.74
1.00, 0.73
0.00, 0.78
0.70, 0.73
0.67, 0.73
0.00, 0.72
0.00, 0.72
0.89, 0.75
0.29, 0.78
1.00, 0.78
0.00, 0.77
0.89, 0.74
0.88, 0.75
1.00, 0.77
0.86, 0.74
0.00, 0.78
0.78, 0.74
1.00, 0.78
0.89, 0.73
0.71, 0.73
0.20, 0.73
0.70, 0.73
0.89, 0.73
0.80, 0.74
1.00, 0.75
0.86, 0.78
1.00, 0.71
1.00, 0.75
0.60, 0.75
0.00, 0.74
0.89, 0.72
1.00, 0.76
0.80, 0.76
1.00, 0.73
0.00, 0.74
1.00, 0.72
0.86, 0.74
1.00, 0.76
1.00, 0.79
0.38, 0.73
0.00, 0.77
1.00, 0.75
0.00, 0.74
0.80, 0.72
0.86, 0.78
0.14, 0.77
1.00, 0.77
1.00, 0.74
0.30, 0.74
0.80, 0.71
1.00, 0.73
0.00, 0.74
1.00, 0.76
1.00, 0.76
1.00, 0.76
1.00, 0.75
0.86, 0.77
0.62, 0.74
0.00, 0.72
1.00, 0.73
1.00, 0.76
1.00, 0.78
0.88, 0.72
1.00, 0.75
1.00, 0.75
1.00, 0.72
0.80, 0.73
1.00, 0.74
0.75, 0.74
1.00, 0.76
0.71, 0.74
1.00, 0.73
1.00, 0.75
0.89, 0.77
0.40, 0.79
0.00, 0.72
1.00, 0.78
1.00, 0.74
0.14, 0.76
1.00, 0.75
0.00, 0.75
0.86, 0.79
0.75, 0.75
0.43, 0.76
1.00, 0.78
1.00, 0.74
1.00, 0.73
0.12, 0.74
0.86, 0.72
0.89, 0.72
0.86, 0.74
1.00, 0.72
1.00, 0.75
0.10, 0.73
0.29, 0.77
1.00, 0.73
1.00, 0.73
1.00, 0.76
1.00, 0.77
0.90, 0.75
1.00, 0.72
1.00, 0.79
0.86, 0.73
0.00, 0.76
0.00, 0.75
1.00, 0.73
1.00, 0.75
0.44, 0.73
1.00, 0.74
0.88, 0.76
0.25, 0.74
1.00, 0.74
0.50, 0.73
0.88, 0.72
1.00, 0.76
0.88, 0.79
0.00, 0.73
0.88, 0.75
1.00, 0.76
0.00, 0.77
0.43, 0.76
1.00, 0.76
1.00, 0.74
1.00, 0.73
1.00, 0.73
0.75, 0.78
1.00, 0.76
0.75, 0.73
0.71, 0.73
1.00, 0.72
1.00, 0.73
0.71, 0.76
0.29, 0.76
0.00, 0.78
1.00, 0.74
0.67, 0.75
0.88, 0.73
0.70, 0.75
1.00, 0.74
0.00, 0.73
1.00, 0.72
1.00, 0.73
1.00, 0.78
0.62, 0.74
0.00, 0.78
1.00, 0.74
0.50, 0.77
0.86, 0.77
0.86, 0.73
0.86, 0.78
1.00, 0.72
1.00, 0.74
0.00, 0.73
1.00, 0.74
0.67, 0.75
0.89, 0.72
0.88, 0.75
0.14, 0.73
1.00, 0.73
1.00, 0.78
0.75, 0.76
1.00, 0.76
0.86, 0.74
0.40, 0.74
1.00, 0.78
1.00, 0.74
0.57, 0.74
1.00, 0.74
0.14, 0.73
0.00, 0.72
0.80, 0.76
0.33, 0.72
1.00, 0.76
0.00, 0.74
0.00, 0.75
1.00, 0.74
1.00, 0.73
1.00, 0.76
0.86, 0.73
0.40, 0.77
0.50, 0.73
0.44, 0.77
1.00, 0.76
0.62, 0.76
0.89, 0.74
0.62, 0.73
0.00, 0.74
0.80, 0.79
0.88, 0.75
1.00, 0.73
1.00, 0.76
1.00, 0.72
1.00, 0.72
0.10, 0.74
0.12, 0.73
0.30, 0.73
1.00, 0.76
1.00, 0.74
0.57, 0.74
0.70, 0.80
1.00, 0.73
1.00, 0.75
0.86, 0.78
0.00, 0.75
1.00, 0.73
0.20, 0.71
1.00, 0.75
1.00, 0.78
0.11, 0.76
0.00, 0.76
1.00, 0.77
0.88, 0.74
0.70, 0.76
0.78, 0.72
1.00, 0.78
1.00, 0.73
0.00, 0.76
0.00, 0.72
1.00, 0.73
1.00, 0.77
1.00, 0.75
1.00, 0.76
0.60, 0.74
0.90, 0.72
0.56, 0.76
1.00, 0.74
0.89, 0.73
0.00, 0.77
1.00, 0.75
0.38, 0.74
1.00, 0.74
1.00, 0.73
0.90, 0.75
1.00, 0.78
0.80, 0.72
1.00, 0.73
0.70, 0.74
1.00, 0.75
0.71, 0.73
1.00, 0.78
1.00, 0.76
1.00, 0.73
1.00, 0.78
0.90, 0.76
0.14, 0.73
0.14, 0.72
0.00, 0.74
0.60, 0.75
1.00, 0.75
0.00, 0.72
0.86, 0.75
1.00, 0.73
1.00, 0.76
0.71, 0.78
1.00, 0.75
1.00, 0.75
1.00, 0.77
1.00, 0.75
0.00, 0.76
0.88, 0.74
1.00, 0.72
1.00, 0.75
0.70, 0.74
0.71, 0.73
0.86, 0.76
0.00, 0.72
0.86, 0.73
0.50, 0.74
1.00, 0.76
0.60, 0.76
0.00, 0.73
0.00, 0.74
0.89, 0.74
0.75, 0.74
1.00, 0.77
1.00, 0.74
1.00, 0.72
0.86, 0.73
1.00, 0.76
1.00, 0.72
1.00, 0.79
0.60, 0.77
1.00, 0.74
0.10, 0.74
1.00, 0.76
0.90, 0.73
0.00, 0.76
0.00, 0.75
1.00, 0.74
1.00, 0.72
0.14, 0.76
1.00, 0.76
1.00, 0.73
1.00, 0.74
1.00, 0.75
1.00, 0.78
1.00, 0.76
0.90, 0.72
0.90, 0.75
0.60, 0.76
1.00, 0.76
0.25, 0.72
1.00, 0.76
1.00, 0.76
1.00, 0.77
0.71, 0.73
0.70, 0.76
0.00, 0.73
1.00, 0.76
0.38, 0.72
1.00, 0.78
1.00, 0.77
1.00, 0.71
0.57, 0.73
0.90, 0.74
1.00, 0.75
0.43, 0.72
0.11, 0.76
0.89, 0.74
0.00, 0.75
1.00, 0.73
1.00, 0.73
0.00, 0.73
1.00, 0.77
0.88, 0.74
0.25, 0.75
0.25, 0.73
1.00, 0.74
1.00, 0.76
1.00, 0.76
1.00, 0.76
0.50, 0.75
0.00, 0.73
1.00, 0.73
0.88, 0.79
0.71, 0.72
1.00, 0.75
0.00, 0.74
1.00, 0.74
0.71, 0.74
0.22, 0.74
1.00, 0.74
0.88, 0.75
1.00, 0.77
1.00, 0.72
0.57, 0.78
1.00, 0.74
0.22, 0.76
0.43, 0.74
1.00, 0.76
0.80, 0.75
