Score, Predict
1.00, 0.35
0.50, 0.35
0.86, 0.35
1.00, 0.35
0.00, 0.35
0.86, 0.35
1.00, 0.35
0.50, 0.35
1.00, 0.35
1.00, 0.35
0.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.88, 0.35
1.00, 0.35
1.00, 0.35
0.60, 0.35
1.00, 0.35
0.90, 0.35
1.00, 0.35
1.00, 0.35
0.60, 0.35
0.62, 0.35
1.00, 0.35
1.00, 0.35
0.00, 0.35
0.86, 0.35
1.00, 0.35
0.00, 0.35
1.00, 0.35
0.20, 0.35
0.12, 0.35
0.56, 0.35
0.29, 0.35
0.57, 0.35
1.00, 0.35
0.86, 0.35
0.57, 0.35
0.62, 0.35
1.00, 0.35
0.80, 0.35
0.00, 0.35
0.14, 0.35
1.00, 0.35
0.60, 0.35
0.00, 0.35
1.00, 0.35
0.00, 0.35
0.88, 0.35
0.00, 0.35
1.00, 0.35
0.57, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.71, 0.35
0.67, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.57, 0.35
1.00, 0.35
0.43, 0.35
0.88, 0.35
0.75, 0.35
1.00, 0.35
1.00, 0.35
0.30, 0.35
1.00, 0.35
1.00, 0.35
0.75, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.43, 0.35
0.33, 0.35
0.86, 0.35
1.00, 0.35
0.00, 0.35
0.20, 0.35
0.88, 0.35
0.00, 0.35
0.86, 0.35
0.71, 0.35
0.33, 0.35
0.88, 0.35
0.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.75, 0.35
1.00, 0.35
0.80, 0.35
0.00, 0.35
0.00, 0.35
1.00, 0.35
0.86, 0.35
0.00, 0.35
1.00, 0.35
0.67, 0.35
1.00, 0.35
0.44, 0.35
1.00, 0.35
1.00, 0.35
0.30, 0.35
0.00, 0.35
0.78, 0.35
0.75, 0.35
0.00, 0.35
0.71, 0.35
0.56, 0.35
1.00, 0.35
1.00, 0.35
0.00, 0.35
0.57, 0.35
1.00, 0.35
0.00, 0.35
1.00, 0.35
1.00, 0.35
0.78, 0.35
1.00, 0.35
1.00, 0.35
0.90, 0.35
0.75, 0.35
0.89, 0.35
0.88, 0.35
1.00, 0.35
0.50, 0.35
1.00, 0.35
0.90, 0.35
1.00, 0.35
0.12, 0.35
1.00, 0.35
0.60, 0.35
0.00, 0.35
0.67, 0.35
0.00, 0.35
0.71, 0.35
1.00, 0.35
0.80, 0.35
0.86, 0.35
0.22, 0.35
1.00, 0.35
0.00, 0.35
0.90, 0.35
0.50, 0.35
0.00, 0.35
0.89, 0.35
0.00, 0.35
1.00, 0.35
1.00, 0.35
0.00, 0.35
0.38, 0.35
0.00, 0.35
0.90, 0.35
0.30, 0.35
0.44, 0.35
0.86, 0.35
0.14, 0.35
1.00, 0.35
0.80, 0.35
1.00, 0.35
0.71, 0.35
1.00, 0.35
0.00, 0.35
1.00, 0.35
0.90, 0.35
0.86, 0.35
0.10, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.90, 0.35
1.00, 0.35
0.67, 0.35
1.00, 0.35
0.00, 0.35
0.00, 0.35
0.86, 0.35
1.00, 0.35
0.86, 0.35
0.89, 0.35
1.00, 0.35
1.00, 0.35
0.00, 0.35
0.88, 0.35
1.00, 0.35
0.78, 0.35
1.00, 0.35
0.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.86, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.56, 0.35
1.00, 0.35
1.00, 0.35
0.00, 0.35
0.60, 0.35
1.00, 0.35
1.00, 0.35
0.00, 0.35
0.88, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.86, 0.35
1.00, 0.35
0.40, 0.35
1.00, 0.35
0.00, 0.35
1.00, 0.35
1.00, 0.35
0.00, 0.35
1.00, 0.35
0.00, 0.35
1.00, 0.35
1.00, 0.35
0.29, 0.35
1.00, 0.35
1.00, 0.35
0.43, 0.35
0.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.78, 0.35
0.38, 0.35
1.00, 0.35
1.00, 0.35
0.38, 0.35
0.88, 0.35
1.00, 0.35
0.00, 0.35
1.00, 0.35
0.00, 0.35
1.00, 0.35
0.43, 0.35
0.57, 0.35
1.00, 0.35
0.89, 0.35
1.00, 0.35
0.00, 0.35
0.89, 0.35
0.20, 0.35
1.00, 0.35
0.50, 0.35
1.00, 0.35
0.78, 0.35
0.86, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.80, 0.35
0.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.71, 0.35
0.71, 0.35
0.00, 0.35
0.56, 0.35
0.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.89, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.86, 0.35
1.00, 0.35
0.90, 0.35
0.90, 0.35
0.00, 0.35
0.67, 0.35
0.78, 0.35
0.30, 0.35
0.90, 0.35
0.88, 0.35
0.88, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.86, 0.35
1.00, 0.35
1.00, 0.35
0.00, 0.35
0.86, 0.35
0.80, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.25, 0.35
0.86, 0.35
1.00, 0.35
0.00, 0.35
1.00, 0.35
0.86, 0.35
0.00, 0.35
0.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.00, 0.35
1.00, 0.35
0.40, 0.35
1.00, 0.35
0.29, 0.35
0.12, 0.35
0.88, 0.35
0.75, 0.35
0.22, 0.35
0.88, 0.35
0.25, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.00, 0.35
1.00, 0.35
0.00, 0.35
0.62, 0.35
0.00, 0.35
0.14, 0.35
0.62, 0.35
1.00, 0.35
0.00, 0.35
0.00, 0.35
0.78, 0.35
0.88, 0.35
1.00, 0.35
0.71, 0.35
0.56, 0.35
1.00, 0.35
1.00, 0.35
0.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.30, 0.35
1.00, 0.35
1.00, 0.35
0.12, 0.35
1.00, 0.35
0.88, 0.35
0.86, 0.35
0.20, 0.35
1.00, 0.35
1.00, 0.35
0.88, 0.35
0.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.00, 0.35
0.00, 0.35
0.43, 0.35
0.60, 0.35
0.14, 0.35
0.00, 0.35
0.38, 0.35
0.62, 0.35
0.00, 0.35
1.00, 0.35
1.00, 0.35
0.33, 0.35
0.86, 0.35
1.00, 0.35
0.14, 0.35
0.86, 0.35
1.00, 0.35
0.14, 0.35
0.33, 0.35
0.78, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.20, 0.35
0.00, 0.35
0.88, 0.35
1.00, 0.35
1.00, 0.35
0.00, 0.35
0.70, 0.35
0.00, 0.35
0.70, 0.35
1.00, 0.35
0.88, 0.35
0.00, 0.35
1.00, 0.35
0.00, 0.35
0.14, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.88, 0.35
1.00, 0.35
0.12, 0.35
1.00, 0.35
0.00, 0.35
0.33, 0.35
0.00, 0.35
1.00, 0.35
1.00, 0.35
0.44, 0.35
0.78, 0.35
0.29, 0.35
1.00, 0.35
1.00, 0.35
0.89, 0.35
0.86, 0.35
0.86, 0.35
1.00, 0.35
0.89, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.00, 0.35
1.00, 0.35
0.62, 0.35
0.56, 0.35
1.00, 0.35
0.62, 0.35
0.71, 0.35
1.00, 0.35
1.00, 0.35
0.00, 0.35
1.00, 0.35
1.00, 0.35
0.00, 0.35
1.00, 0.35
0.56, 0.35
0.40, 0.35
0.86, 0.35
1.00, 0.35
0.75, 0.35
0.00, 0.35
1.00, 0.35
0.89, 0.35
0.90, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.90, 0.35
0.43, 0.35
0.90, 0.35
1.00, 0.35
0.70, 0.35
0.90, 0.35
0.40, 0.35
0.25, 0.35
1.00, 0.35
1.00, 0.35
0.00, 0.35
0.00, 0.35
1.00, 0.35
0.90, 0.35
0.00, 0.35
0.90, 0.35
0.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.25, 0.35
1.00, 0.35
0.00, 0.35
0.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.38, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.50, 0.35
1.00, 0.35
0.70, 0.35
1.00, 0.35
0.38, 0.35
0.12, 0.35
0.88, 0.35
0.00, 0.35
1.00, 0.35
1.00, 0.35
0.20, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.90, 0.35
1.00, 0.35
0.00, 0.35
1.00, 0.35
0.50, 0.35
1.00, 0.35
0.00, 0.35
0.80, 0.35
1.00, 0.35
1.00, 0.35
0.12, 0.35
1.00, 0.35
0.29, 0.35
0.90, 0.35
0.00, 0.35
1.00, 0.35
0.86, 0.35
1.00, 0.35
1.00, 0.35
0.00, 0.35
0.86, 0.35
0.33, 0.35
1.00, 0.35
0.88, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.88, 0.35
0.90, 0.35
0.25, 0.35
1.00, 0.35
1.00, 0.35
0.57, 0.35
0.90, 0.35
0.89, 0.35
0.38, 0.35
1.00, 0.35
0.50, 0.35
1.00, 0.35
0.70, 0.35
0.67, 0.35
0.43, 0.35
0.86, 0.35
0.00, 0.35
0.00, 0.35
1.00, 0.35
0.00, 0.35
0.88, 0.35
1.00, 0.35
0.00, 0.35
0.10, 0.35
1.00, 0.35
0.00, 0.35
0.88, 0.35
0.00, 0.35
1.00, 0.35
0.14, 0.35
0.43, 0.35
0.50, 0.35
0.71, 0.35
1.00, 0.35
0.86, 0.35
0.00, 0.35
1.00, 0.35
1.00, 0.35
0.57, 0.35
1.00, 0.35
0.00, 0.35
0.38, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.86, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.86, 0.35
1.00, 0.35
1.00, 0.35
0.10, 0.35
0.90, 0.35
0.00, 0.35
0.75, 0.35
0.25, 0.35
0.89, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.78, 0.35
0.00, 0.35
1.00, 0.35
1.00, 0.35
0.20, 0.35
1.00, 0.35
0.80, 0.35
0.60, 0.35
0.14, 0.35
0.00, 0.35
0.00, 0.35
0.10, 0.35
0.50, 0.35
0.44, 0.35
1.00, 0.35
0.56, 0.35
0.00, 0.35
0.00, 0.35
0.90, 0.35
1.00, 0.35
0.86, 0.35
0.00, 0.35
1.00, 0.35
1.00, 0.35
0.88, 0.35
0.00, 0.35
0.00, 0.35
0.00, 0.35
0.57, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.00, 0.35
1.00, 0.35
1.00, 0.35
0.00, 0.35
1.00, 0.35
0.38, 0.35
0.00, 0.35
1.00, 0.35
1.00, 0.35
0.89, 0.35
0.80, 0.35
0.14, 0.35
1.00, 0.35
0.00, 0.35
0.50, 0.35
1.00, 0.35
0.00, 0.35
0.29, 0.35
1.00, 0.35
0.11, 0.35
0.38, 0.35
1.00, 0.35
0.88, 0.35
0.88, 0.35
1.00, 0.35
0.88, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.00, 0.35
0.78, 0.35
1.00, 0.35
1.00, 0.35
0.29, 0.35
1.00, 0.35
0.57, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.89, 0.35
0.00, 0.35
0.86, 0.35
0.38, 0.35
0.43, 0.35
0.14, 0.35
0.43, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.00, 0.35
1.00, 0.35
0.12, 0.35
0.00, 0.35
1.00, 0.35
1.00, 0.35
0.86, 0.35
1.00, 0.35
1.00, 0.35
0.89, 0.35
1.00, 0.35
1.00, 0.35
0.86, 0.35
1.00, 0.35
1.00, 0.35
0.00, 0.35
0.90, 0.35
1.00, 0.35
1.00, 0.35
0.88, 0.35
0.00, 0.35
1.00, 0.35
0.30, 0.35
1.00, 0.35
1.00, 0.35
0.62, 0.35
0.00, 0.35
1.00, 0.35
0.14, 0.35
1.00, 0.35
1.00, 0.35
0.12, 0.35
0.90, 0.35
0.86, 0.35
0.43, 0.35
0.00, 0.35
0.12, 0.35
0.86, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.86, 0.35
1.00, 0.35
1.00, 0.35
0.14, 0.35
1.00, 0.35
0.71, 0.35
0.00, 0.35
1.00, 0.35
1.00, 0.35
0.30, 0.35
1.00, 0.35
0.14, 0.35
1.00, 0.35
0.29, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.00, 0.35
0.30, 0.35
0.00, 0.35
0.86, 0.35
0.90, 0.35
0.12, 0.35
0.14, 0.35
0.00, 0.35
1.00, 0.35
0.90, 0.35
1.00, 0.35
0.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.90, 0.35
0.78, 0.35
0.00, 0.35
0.71, 0.35
1.00, 0.35
0.75, 0.35
1.00, 0.35
0.90, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.75, 0.35
0.14, 0.35
1.00, 0.35
0.00, 0.35
1.00, 0.35
0.70, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.80, 0.35
1.00, 0.35
1.00, 0.35
0.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.29, 0.35
1.00, 0.35
0.25, 0.35
1.00, 0.35
1.00, 0.35
0.75, 0.35
1.00, 0.35
0.67, 0.35
0.44, 0.35
0.71, 0.35
0.00, 0.35
1.00, 0.35
0.00, 0.35
0.71, 0.35
0.86, 0.35
1.00, 0.35
1.00, 0.35
0.00, 0.35
1.00, 0.35
1.00, 0.35
0.40, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.78, 0.35
0.40, 0.35
1.00, 0.35
1.00, 0.35
0.90, 0.35
0.90, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.88, 0.35
0.86, 0.35
0.71, 0.35
0.00, 0.35
1.00, 0.35
0.00, 0.35
1.00, 0.35
0.78, 0.35
1.00, 0.35
0.12, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.80, 0.35
1.00, 0.35
0.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.71, 0.35
0.12, 0.35
0.75, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.88, 0.35
1.00, 0.35
0.71, 0.35
0.62, 0.35
1.00, 0.35
0.60, 0.35
0.80, 0.35
0.86, 0.35
0.88, 0.35
1.00, 0.35
1.00, 0.35
0.00, 0.35
1.00, 0.35
0.86, 0.35
1.00, 0.35
1.00, 0.35
0.29, 0.35
0.80, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.29, 0.35
1.00, 0.35
1.00, 0.35
0.00, 0.35
1.00, 0.35
0.25, 0.35
0.86, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.00, 0.35
1.00, 0.35
0.89, 0.35
1.00, 0.35
1.00, 0.35
0.40, 0.35
0.89, 0.35
0.71, 0.35
1.00, 0.35
1.00, 0.35
0.43, 0.35
1.00, 0.35
0.86, 0.35
0.12, 0.35
0.90, 0.35
0.00, 0.35
0.57, 0.35
0.71, 0.35
0.67, 0.35
0.71, 0.35
0.00, 0.35
1.00, 0.35
0.90, 0.35
1.00, 0.35
0.00, 0.35
1.00, 0.35
0.00, 0.35
1.00, 0.35
0.22, 0.35
0.00, 0.35
0.56, 0.35
0.00, 0.35
1.00, 0.35
0.78, 0.35
1.00, 0.35
0.43, 0.35
0.29, 0.35
1.00, 0.35
1.00, 0.35
0.50, 0.35
0.00, 0.35
0.90, 0.35
1.00, 0.35
0.00, 0.35
1.00, 0.35
0.86, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.25, 0.35
0.62, 0.35
1.00, 0.35
0.62, 0.35
0.00, 0.35
1.00, 0.35
0.88, 0.35
0.25, 0.35
0.00, 0.35
1.00, 0.35
0.00, 0.35
1.00, 0.35
0.00, 0.35
1.00, 0.35
0.14, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.89, 0.35
1.00, 0.35
0.38, 0.35
1.00, 0.35
1.00, 0.35
0.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.50, 0.35
0.75, 0.35
0.43, 0.35
0.71, 0.35
0.90, 0.35
0.00, 0.35
0.00, 0.35
1.00, 0.35
1.00, 0.35
0.90, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.89, 0.35
1.00, 0.35
0.89, 0.35
0.40, 0.35
0.10, 0.35
0.71, 0.35
0.86, 0.35
1.00, 0.35
0.88, 0.35
1.00, 0.35
0.57, 0.35
1.00, 0.35
0.10, 0.35
0.00, 0.35
1.00, 0.35
1.00, 0.35
0.86, 0.35
0.00, 0.35
1.00, 0.35
1.00, 0.35
0.86, 0.35
1.00, 0.35
0.00, 0.35
0.80, 0.35
0.14, 0.35
0.86, 0.35
1.00, 0.35
0.86, 0.35
1.00, 0.35
0.00, 0.35
0.67, 0.35
0.89, 0.35
1.00, 0.35
0.88, 0.35
0.86, 0.35
1.00, 0.35
0.14, 0.35
0.86, 0.35
0.86, 0.35
1.00, 0.35
0.90, 0.35
0.75, 0.35
0.10, 0.35
0.00, 0.35
1.00, 0.35
0.78, 0.35
0.86, 0.35
0.11, 0.35
0.29, 0.35
0.50, 0.35
1.00, 0.35
0.86, 0.35
0.90, 0.35
0.11, 0.35
0.60, 0.35
0.00, 0.35
0.80, 0.35
0.90, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.00, 0.35
0.75, 0.35
0.40, 0.35
0.60, 0.35
1.00, 0.35
1.00, 0.35
0.88, 0.35
1.00, 0.35
1.00, 0.35
0.71, 0.35
0.00, 0.35
0.70, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.22, 0.35
1.00, 0.35
0.86, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.44, 0.35
0.43, 0.35
1.00, 0.35
0.00, 0.35
0.80, 0.35
0.75, 0.35
1.00, 0.35
1.00, 0.35
0.14, 0.35
0.89, 0.35
0.80, 0.35
1.00, 0.35
0.90, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.62, 0.35
0.00, 0.35
0.90, 0.35
0.78, 0.35
1.00, 0.35
1.00, 0.35
0.40, 0.35
0.88, 0.35
1.00, 0.35
1.00, 0.35
0.62, 0.35
0.86, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.67, 0.35
0.88, 0.35
0.00, 0.35
0.78, 0.35
0.00, 0.35
0.80, 0.35
0.10, 0.35
0.00, 0.35
1.00, 0.35
0.57, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.00, 0.35
0.50, 0.35
0.62, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.78, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.78, 0.35
1.00, 0.35
0.62, 0.35
1.00, 0.35
0.90, 0.35
0.75, 0.35
0.00, 0.35
0.88, 0.35
1.00, 0.35
0.57, 0.35
0.70, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.00, 0.35
1.00, 0.35
1.00, 0.35
0.90, 0.35
0.86, 0.35
1.00, 0.35
1.00, 0.35
0.70, 0.35
1.00, 0.35
0.70, 0.35
1.00, 0.35
0.44, 0.35
0.14, 0.35
0.00, 0.35
0.89, 0.35
0.80, 0.35
0.75, 0.35
1.00, 0.35
0.78, 0.35
1.00, 0.35
0.14, 0.35
0.38, 0.35
0.25, 0.35
0.43, 0.35
1.00, 0.35
1.00, 0.35
0.71, 0.35
0.86, 0.35
0.88, 0.35
0.78, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.00, 0.35
1.00, 0.35
1.00, 0.35
0.75, 0.35
1.00, 0.35
0.90, 0.35
1.00, 0.35
1.00, 0.35
0.14, 0.35
0.86, 0.35
0.43, 0.35
1.00, 0.35
0.22, 0.35
1.00, 0.35
0.57, 0.35
1.00, 0.35
0.86, 0.35
1.00, 0.35
1.00, 0.35
0.14, 0.35
0.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.00, 0.35
0.22, 0.35
0.62, 0.35
1.00, 0.35
0.00, 0.35
0.44, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.75, 0.35
0.88, 0.35
0.00, 0.35
0.86, 0.35
0.60, 0.35
1.00, 0.35
0.88, 0.35
0.57, 0.35
0.00, 0.35
1.00, 0.35
0.10, 0.35
1.00, 0.35
0.33, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.88, 0.35
1.00, 0.35
1.00, 0.35
0.89, 0.35
0.75, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.44, 0.35
0.57, 0.35
1.00, 0.35
1.00, 0.35
0.80, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.25, 0.35
1.00, 0.35
0.30, 0.35
0.30, 0.35
1.00, 0.35
0.70, 0.35
0.00, 0.35
0.62, 0.35
0.70, 0.35
0.00, 0.35
0.86, 0.35
1.00, 0.35
0.57, 0.35
1.00, 0.35
0.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.12, 0.35
0.62, 0.35
0.14, 0.35
0.89, 0.35
0.86, 0.35
0.71, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.14, 0.35
0.29, 0.35
1.00, 0.35
1.00, 0.35
0.71, 0.35
1.00, 0.35
0.90, 0.35
1.00, 0.35
0.14, 0.35
1.00, 0.35
1.00, 0.35
0.30, 0.35
0.70, 0.35
1.00, 0.35
0.43, 0.35
0.00, 0.35
0.00, 0.35
1.00, 0.35
1.00, 0.35
0.40, 0.35
0.89, 0.35
0.00, 0.35
1.00, 0.35
0.30, 0.35
0.00, 0.35
0.00, 0.35
0.33, 0.35
0.43, 0.35
0.25, 0.35
1.00, 0.35
1.00, 0.35
0.00, 0.35
1.00, 0.35
0.86, 0.35
0.00, 0.35
0.44, 0.35
1.00, 0.35
0.00, 0.35
1.00, 0.35
0.44, 0.35
0.62, 0.35
0.29, 0.35
0.56, 0.35
1.00, 0.35
0.00, 0.35
1.00, 0.35
1.00, 0.35
0.90, 0.35
1.00, 0.35
0.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.90, 0.35
0.88, 0.35
0.88, 0.35
0.71, 0.35
0.71, 0.35
0.88, 0.35
1.00, 0.35
0.50, 0.35
1.00, 0.35
1.00, 0.35
0.14, 0.35
1.00, 0.35
0.88, 0.35
1.00, 0.35
0.00, 0.35
0.00, 0.35
0.12, 0.35
1.00, 0.35
1.00, 0.35
0.57, 0.35
0.89, 0.35
1.00, 0.35
0.90, 0.35
0.90, 0.35
0.89, 0.35
0.80, 0.35
1.00, 0.35
0.43, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.00, 0.35
0.71, 0.35
0.50, 0.35
0.78, 0.35
0.57, 0.35
0.89, 0.35
1.00, 0.35
0.00, 0.35
0.50, 0.35
1.00, 0.35
0.00, 0.35
0.10, 0.35
1.00, 0.35
0.86, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.00, 0.35
1.00, 0.35
0.00, 0.35
1.00, 0.35
0.00, 0.35
0.60, 0.35
1.00, 0.35
0.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.67, 0.35
0.43, 0.35
0.00, 0.35
0.89, 0.35
1.00, 0.35
1.00, 0.35
0.88, 0.35
1.00, 0.35
1.00, 0.35
0.75, 0.35
0.88, 0.35
0.43, 0.35
0.75, 0.35
0.88, 0.35
0.90, 0.35
0.88, 0.35
1.00, 0.35
1.00, 0.35
0.86, 0.35
0.57, 0.35
0.86, 0.35
0.00, 0.35
0.00, 0.35
0.56, 0.35
1.00, 0.35
0.89, 0.35
1.00, 0.35
0.43, 0.35
1.00, 0.35
0.67, 0.35
0.25, 0.35
1.00, 0.35
0.40, 0.35
0.86, 0.35
1.00, 0.35
0.86, 0.35
0.86, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.80, 0.35
1.00, 0.35
1.00, 0.35
0.75, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.29, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.57, 0.35
0.86, 0.35
1.00, 0.35
0.56, 0.35
0.00, 0.35
0.00, 0.35
1.00, 0.35
1.00, 0.35
0.38, 0.35
1.00, 0.35
1.00, 0.35
0.25, 0.35
0.80, 0.35
0.22, 0.35
0.86, 0.35
0.50, 0.35
1.00, 0.35
0.57, 0.35
0.29, 0.35
1.00, 0.35
1.00, 0.35
0.00, 0.35
0.10, 0.35
0.80, 0.35
0.75, 0.35
0.78, 0.35
0.88, 0.35
0.60, 0.35
0.89, 0.35
0.22, 0.35
1.00, 0.35
0.86, 0.35
1.00, 0.35
0.89, 0.35
1.00, 0.35
0.75, 0.35
0.00, 0.35
0.56, 0.35
1.00, 0.35
1.00, 0.35
0.71, 0.35
0.75, 0.35
0.86, 0.35
1.00, 0.35
0.71, 0.35
0.62, 0.35
0.00, 0.35
0.89, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.38, 0.35
0.86, 0.35
1.00, 0.35
0.86, 0.35
1.00, 0.35
0.56, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.25, 0.35
1.00, 0.35
1.00, 0.35
0.89, 0.35
0.80, 0.35
0.00, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.75, 0.35
1.00, 0.35
1.00, 0.35
0.14, 0.35
0.14, 0.35
1.00, 0.35
0.75, 0.35
0.80, 0.35
0.12, 0.35
1.00, 0.35
0.71, 0.35
1.00, 0.35
0.86, 0.35
0.71, 0.35
1.00, 0.35
1.00, 0.35
1.00, 0.35
0.00, 0.35
0.80, 0.35
0.30, 0.35
0.00, 0.35
1.00, 0.35
0.86, 0.35
0.00, 0.35
0.75, 0.35
0.71, 0.35
0.00, 0.35
1.00, 0.35
1.00, 0.35
0.25, 0.35
1.00, 0.35
0.00, 0.35
0.86, 0.35
0.10, 0.35
1.00, 0.35
1.00, 0.35
0.20, 0.35
1.00, 0.35
0.89, 0.35
0.90, 0.35
0.62, 0.35
